CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2022,6,85045000,11,69,MG,4,817600,2,1399,19576
2022,4,39219019,10,586,SP,7,917500,3914,3914,12672
2022,1,44071100,16,249,SC,1,927800,21945,8409167,5177394
2022,11,84672100,11,521,RS,1,817800,10,25,487
2022,10,8072000,10,23,RN,4,417901,55356,55356,71511
2022,9,34013000,10,169,SP,4,817600,1267,1267,12848
2022,2,40169300,10,158,SP,4,817700,359,359,67147
2022,9,68053090,10,580,SP,1,817800,392,392,1243
2022,1,39069019,10,493,SP,1,817800,18000,18000,28286
2022,7,61071100,11,586,SP,7,917500,22292,1361,42077
2022,9,8071100,10,628,RN,1,317900,3015531,3015531,2215727
2022,10,39191010,10,845,SP,7,1017701,5184,5184,26197
2022,12,73269090,10,169,SP,4,817700,1444,1262,26265
2022,7,84385000,11,548,RS,4,817700,691,673,13978
2022,3,21021090,10,467,PA,1,217800,1,1,1
2022,5,73043920,10,249,MG,4,817700,411,411,3833
2022,10,21050010,10,741,RS,1,1017700,51,51,414
2022,12,39095029,10,845,RS,7,1017701,74,74,1200
2022,10,76129011,10,493,SP,1,817800,49532,49526,711176
2022,2,94032000,11,161,SC,1,917800,4,48,2489
2022,4,84834090,11,63,SP,1,817800,1921,2302,34514
2022,3,84672200,11,476,SP,1,817800,1,1,65
2022,8,85021110,11,77,SP,1,817800,9,69187,70934
2022,5,84834090,11,580,RS,4,817700,87,5,940
2022,3,73181500,10,229,SP,1,817800,8,8,909
2022,6,8071900,10,245,BA,1,517800,20,20,18
2022,11,39199020,10,169,PR,4,817700,2,2,154
2022,4,39012029,10,63,RS,7,1017500,2575000,2575000,4651594
2022,4,87089300,11,589,SP,1,817800,4902,20325,344441
2022,5,39229000,10,845,SP,7,1017701,3175,3021,19002
2022,8,76169900,10,586,RS,7,917500,2664,2664,18168
2022,8,23099090,10,158,SC,7,1017500,498240,498240,401902
2022,7,7096000,10,741,RS,1,1017700,99,99,206
2022,1,87089990,10,83,SP,1,817800,174,174,9019
2022,7,3074310,10,741,SP,1,817800,70,70,571
2022,12,7020000,10,351,MA,1,317903,586,586,1000
2022,4,84615090,11,586,SP,7,917500,1,260,12500
2022,8,68041000,10,158,SP,1,817800,11,11,141
2022,1,42023100,11,607,SC,4,817600,1,1,11
2022,12,84099917,11,169,SP,4,817700,1688,187,4201
2022,1,3061710,10,580,SC,1,917800,20,20,232
2022,5,4022110,10,434,RS,1,927502,120,120,157
2022,3,82075011,10,97,PR,7,147600,363,363,3699
2022,12,96062200,10,97,RS,4,817600,346,346,7829
2022,3,33072090,10,301,RJ,1,710251,0,0,2
2022,8,73182900,10,589,SP,1,817800,302,302,19782
2022,10,87019490,11,158,RS,7,1017503,13,88020,914474
2022,3,37013021,15,573,RJ,1,717600,6615,5385,36324
2022,11,32151100,10,586,SP,15,917500,378,378,1391
2022,5,84879000,10,69,SP,4,817600,1,1,152
2022,11,94019900,10,23,SP,4,817700,17,17,1863
2022,1,71131900,10,249,RJ,4,817600,0,0,9319
2022,12,84839000,10,845,RS,7,1017701,210,210,2478
2022,10,8045020,10,63,PE,7,917500,24384,24384,24156
2022,8,84836011,11,23,SP,1,817800,1,3,122
2022,5,68029990,10,249,ES,1,727600,622047,622047,1304887
2022,9,42022900,11,249,RJ,4,817700,21,7,522
2022,10,2071400,10,77,PR,1,917800,27030,27030,43110
2022,11,62111200,11,190,SP,4,817700,2,1,268
2022,6,84133090,11,586,SP,7,917500,2821,6676,79376
2022,6,2032900,10,161,MA,1,317903,43,43,100
2022,12,61089100,11,586,SC,7,917500,34,0,148
2022,9,84439933,10,249,SC,4,817600,519,519,32078
2022,3,90321090,11,249,RS,4,817600,1,0,17
2022,2,84099120,11,317,SP,4,817700,7,1,57
2022,8,94036000,11,249,RS,1,1017700,25183,652780,2028155
2022,5,64059000,13,386,RS,4,817600,307,204,7983
2022,10,30049069,10,493,SP,1,817800,18768,18768,140235
2022,8,19019090,10,586,SP,7,917500,673,673,1843
2022,1,42029200,11,845,SP,7,1017701,1682,189,1256
2022,8,19023000,10,538,ES,1,727600,36,36,189
2022,6,67021000,10,249,RJ,4,717700,27,27,2807
2022,4,8011200,10,361,SP,1,817800,10,10,15
2022,12,23080000,10,365,SP,1,817800,83436,83436,61649
2022,4,85168010,11,687,SE,1,817800,494,18,1279
2022,11,84818099,11,23,SP,1,817800,3044,136,21082
2022,1,64029990,13,670,RS,1,1017700,9096,4965,77205
2022,9,85015290,11,764,SC,1,917800,25,609,7103
2022,11,85122019,11,158,MG,7,1017500,5,1,138
2022,12,83100000,10,434,ES,1,727600,1,1,2
2022,9,87083090,11,589,SP,1,817800,3219,13487,134686
2022,1,85030090,10,245,SP,4,817600,1770,1770,110497
2022,11,61046900,11,169,SC,4,817700,960,132,5592
2022,3,84836019,11,63,SP,1,817800,2012,5173,144120
2022,11,74072110,10,169,SC,4,817700,0,0,22
2022,10,34039900,10,589,SP,1,817800,22950,22950,78241
2022,5,7099919,10,741,ES,1,727600,5,5,19
2022,6,84833010,11,97,RS,7,147600,6,1808,560
2022,3,39269090,10,239,RS,4,817700,2292,2292,15849
2022,5,2071400,10,403,RS,1,927800,185265,185265,397699
2022,12,73182200,10,249,SP,1,817800,145,145,10590
2022,11,73269090,10,845,SC,4,817700,26,26,2903
2022,11,87089100,11,63,PR,7,1017503,17921,26617,358518
2022,11,85443000,10,493,MG,1,717600,168,168,6727
2022,8,94035000,11,589,RS,1,817800,250,21750,22204
2022,12,84198920,11,169,SP,4,817700,4,182,3528
2022,8,94032000,11,505,SP,4,817600,2,224,17
2022,3,40093100,10,845,PR,7,1017701,0,0,33
2022,9,90278999,11,169,SP,1,817800,6014,961,4085
2022,1,4062000,10,467,RS,1,1017700,5,5,62
2022,3,4022130,10,538,SC,1,927700,1,1,4
2022,8,39079100,10,97,SP,7,147600,50535,50535,140168
2022,9,11022000,10,586,PR,7,917500,1755,1755,1052
2022,4,84834010,11,586,RS,7,917500,173,5349,48134
2022,8,83024200,10,275,SP,4,817600,0,0,1349
2022,7,85322410,11,160,SC,4,817700,12000,0,2040
