CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2022,12,62014000,11,160,SC,4,927800,81,58,410,289,0
2022,6,85365090,11,160,PR,4,917900,70348,260,22860,5019,120
2022,4,84811000,11,764,PR,4,817700,1,0,106,0,0
2022,6,73261900,10,23,SP,4,817600,428,428,25456,3903,40
2022,3,83024100,10,351,SP,1,817800,3064,3064,27823,1694,61
2022,12,25223000,10,160,SP,1,817800,12000,12000,2952,3623,0
2022,5,83016000,10,245,SP,1,817800,302,302,12465,76,34
2022,3,84841000,10,23,SP,1,817800,17380,17380,1029655,11557,446
2022,7,85443000,10,493,SP,1,817800,10158,10158,448502,4937,1079
2022,10,87087090,11,160,SP,1,817800,507737,779754,3239071,636817,814
2022,2,85423390,11,160,SP,4,817700,2348370,273,876046,15687,145
2022,4,76169900,10,764,SP,1,817800,16616,16616,163414,6174,119
2022,9,73182200,10,249,GO,4,617700,56,56,15989,444,14
2022,7,73182300,10,149,SC,1,927700,0,0,85,0,0
2022,6,39061000,10,161,SC,1,927800,12000,12000,29332,5250,36
2022,8,84136019,11,160,AM,4,227700,2,0,24,0,0
2022,9,81089000,10,386,SP,1,817800,1898,1898,96726,118,155
2022,7,84099114,11,249,SC,1,927800,2,1,85,1,0
2022,7,39191090,10,858,SP,4,817700,26,26,11566,4568,3
2022,12,39209910,10,160,AM,1,227600,3881,3881,288391,12757,43
2022,12,85366990,11,23,SP,4,817600,13343,587,149510,5366,105
2022,10,48239099,10,275,SP,4,817700,2,2,3004,27,2
2022,4,33041000,10,63,SP,7,1017500,311,311,29054,277,6
2022,9,61046300,11,403,MG,1,817800,301,30,2570,48,2
2022,2,90262090,11,23,SP,4,817700,1690,500,188796,6792,108
2022,11,90329099,10,249,SP,1,817800,3410,3410,151335,6421,298
2022,7,84733049,11,355,SP,4,817600,1,5,1111,32,0
2022,5,39269090,10,160,SC,1,927800,496507,496507,1256002,262402,795
2022,9,85322200,11,160,AM,4,227700,10110953,10205,425912,142640,320
2022,5,90303329,11,246,SP,4,817600,11,4,1081,20,0
2022,9,85176239,11,275,SP,4,817600,1,3,4407,44,19
2022,1,21069010,10,573,PR,1,917800,120000,120000,521476,9190,512
2022,10,61143000,11,160,MS,1,917800,125375,18783,135285,17510,50
2022,10,85044090,11,160,SP,4,817700,15449,12120,1185724,184228,1103
2022,10,48102990,10,160,PE,1,717600,103076,103076,102045,63620,368
2022,10,84149010,10,538,RJ,1,927800,70,70,3357,316,0
2022,12,29039130,10,361,SP,1,817800,245000,245000,388178,36591,32107
2022,2,84819090,10,160,SP,4,817700,5137,5137,115872,101598,122
2022,8,84818099,11,386,BA,1,817800,8,2,48,1,0
2022,7,85129000,10,160,SC,1,927700,91049,91049,158228,59221,269
2022,4,84835090,11,399,SP,4,817600,20,25,1451,1397,0
2022,5,39211310,10,23,SP,4,817700,11,11,2268,1419,0
2022,11,90322000,11,23,SP,4,817600,1630,235,40416,2141,48
2022,8,39235000,10,399,PR,1,917800,2349,2349,15866,9840,31
2022,5,85182200,11,160,SC,1,927800,972,5368,106766,4403,11
2022,3,85122023,11,87,PR,4,817600,5,6,350,40,0
2022,12,85389010,11,764,SP,4,817600,4,1,2964,9,0
2022,5,84811000,11,399,SP,1,817800,14555,2625,148428,2840,146
2022,11,49119100,10,160,SC,1,817800,1,1,175,2,0
2022,2,31022100,10,160,MG,1,917800,1650097,1650097,554693,85880,225
2022,5,87083090,11,827,SP,4,817600,507,172,3102,1717,50
2022,2,85411022,11,351,AM,1,227600,751500,12,24840,61,12
2022,8,85361000,11,275,SP,1,817800,388,5,1066,2,1
2022,2,29156019,10,249,RJ,4,717700,20,20,672,1568,0
2022,6,87089529,11,386,PE,1,417902,28080,309,70469,66,22
2022,6,85365090,11,23,RS,4,817700,59,365,2599,2258,1
2022,9,87088000,11,361,SP,1,817800,381186,359041,771920,165944,372
2022,6,74153300,10,764,PR,4,817600,0,0,10,1,0
2022,9,34029090,10,23,SP,4,817700,80,80,1177,1776,0
2022,4,85176259,11,160,RO,7,230154,1000,93,500,42,0
2022,8,76169900,10,72,AM,1,227600,3,3,839,9,1
2022,1,84099190,10,160,SC,1,927700,4812,4812,14523,3196,6
2022,4,84812090,11,399,RS,1,817800,320,42,1692,13,1
2022,2,39269090,10,275,SP,1,817800,23111,23111,241683,12622,478
2022,1,61112000,11,81,SP,1,817800,37329,5630,155502,8905,203
2022,5,39204900,10,160,SC,1,927800,179292,179292,312693,57903,305
2022,7,84122110,11,275,SP,4,817700,2,31,318,166,0
2022,10,85011019,11,249,SP,4,817700,1588,1598,235121,20161,149
2022,5,64039990,13,386,SP,4,817600,3657,3414,791960,37160,754
2022,10,84834090,11,23,SP,4,817600,349,2806,207728,28945,220
2022,3,85322111,11,493,SP,4,817700,6011,0,1348,16,0
2022,7,84099190,10,23,SP,4,817700,2241,2241,91791,30569,72
2022,4,84733042,11,160,AM,4,227700,969,35,31280,1313,11
2022,3,83016000,10,776,SP,1,817800,4816,4816,235895,3992,114
2022,5,84834010,11,628,AM,1,927700,1327,6868,213314,8756,33
2022,12,85365090,11,493,SP,4,817700,2262,366,62167,3175,32
2022,10,84825010,11,245,RN,1,817800,6,666,14874,254,149
2022,11,90318099,11,355,SP,4,817600,51,33,2985,302,1
2022,9,96151900,10,160,SP,1,817800,28383,28383,66689,27225,2
2022,8,84339010,10,386,ES,1,717600,532,532,10128,83,36
2022,1,39269090,10,386,SP,1,817800,29635,29635,351668,25793,296
2022,10,85363090,11,386,SP,1,817800,2001,9,1534,5,0
2022,11,39169010,10,249,SC,4,817600,739,739,7617,7984,1
2022,7,40169990,10,160,SP,4,817700,1600,1600,50635,15715,22
2022,3,84779000,10,23,SP,4,817600,2080,2080,298453,26009,221
2022,12,85129000,10,361,AM,1,227600,117,117,738,128,0
2022,3,85432000,11,628,SP,4,817600,54,13,1130,1535,1
2022,6,85412920,11,455,SP,4,817700,623360,323,144362,6057,46
2022,4,90261029,11,23,PR,4,917900,39,6,3395,63,1
2022,3,40169100,10,361,SC,1,927700,6000,6000,9000,7045,0
2022,9,39269022,10,791,SP,4,817600,21,21,1982,375,0
2022,10,84139190,10,365,AM,1,227600,20835,20835,1174915,41508,2366
2022,9,85044090,11,161,SP,4,817700,51064,1472,246571,43502,200
2022,3,49059100,10,249,SP,4,817700,19,19,279,93,0
2022,11,85258929,11,160,RS,4,1017801,108,31,3525,664,0
2022,2,48195000,10,160,RJ,1,717600,1254,1254,1635,777,0
2022,10,73182200,10,361,SP,4,817600,200,200,6226,3037,43
2022,7,94059200,10,160,SP,1,817800,11478,11478,34936,3821,17
2022,6,70133700,10,160,SP,1,817800,9214,9214,19557,3950,9
2022,7,39269021,10,160,SC,1,927800,912,912,15672,497,44
2022,11,84339090,10,375,PR,1,917800,1800,1800,13081,576,15
2022,7,90173010,11,160,SP,1,817800,1072,1133,35951,1128,130
2022,3,85369010,11,767,SP,1,817800,12006,9,565,9,0
2022,2,84145910,11,160,SP,4,817600,17230,2264,76845,79889,78
2022,6,87089510,11,493,SP,4,817700,33,24,3784,1800,3
2022,4,87081000,11,160,RS,1,927800,730,799,6947,1749,17
2022,8,73269090,10,275,BA,1,517800,16,16,780,15,0
2022,6,90183929,11,493,SC,4,817600,159,109,3510,1401,0
2022,3,42050000,10,160,SP,1,817800,0,0,21,0,0
2022,4,34029090,10,160,SP,1,817800,476,476,9277,886,5
2022,1,84213990,11,160,AM,1,227600,599682,25891,281834,27732,108
2022,12,87082999,11,161,SC,4,817600,4,9,95,114,0
2022,3,73182900,10,23,AM,1,227600,460,460,15399,432,1
2022,3,28112230,10,160,AM,4,227700,96,96,51032,1959,17
2022,9,40091290,10,23,SP,1,817800,864,864,46175,77,16
2022,7,84212300,11,361,AM,1,927700,200,4,60,12,0
2022,8,85437099,11,249,MG,4,717700,2,2,4722,26,2
2022,2,84829119,10,23,SP,1,817800,6485,6485,106630,2441,38
2022,2,85319000,10,607,SP,4,817700,93,93,19179,436,4
2022,2,45049000,10,23,RS,1,817800,18,18,1045,4,0
2022,1,85334092,11,160,SP,4,817600,16200,9,1518,30,0
2022,10,84295212,11,275,SP,1,817800,2,5910,101545,1484,17
2022,11,84679900,10,23,PR,1,917800,883,883,24656,285,10
2022,6,85414111,11,767,SP,4,817600,4,2,313,86,1
2022,8,34029029,10,249,SP,1,817800,358564,358564,2654486,76409,737
2022,5,84131900,11,160,SP,4,817700,1,0,194,102,0
2022,3,38249979,10,386,SP,1,817800,19200,19200,94308,787,152
2022,4,76090000,10,361,SP,4,817600,0,0,20,5,0
2022,10,57024200,15,240,SC,1,927800,19054,29156,134352,7966,370
2022,5,48239099,10,858,AM,4,227700,10467,10467,81825,770041,133
2022,10,90259010,10,161,SP,1,817800,1,1,66,2,0
2022,7,39269030,10,275,SP,4,817700,17,17,1317,605,0
2022,12,85472090,10,361,SP,4,817700,26,26,1163,306,1
2022,1,84439923,10,160,RJ,1,817800,144,144,9619,69,0
2022,3,39199090,10,628,SP,4,817700,34,34,3287,1846,1
2022,2,62044900,11,160,SP,4,717700,1702,709,27636,2600,7
2022,11,39129020,10,249,SC,1,927800,14400,14400,169250,3329,413
2022,10,73079200,10,72,SP,1,817800,0,0,11,0,0
2022,1,73182900,10,355,SP,1,817800,2935,2935,55628,324,26
2022,4,84289090,11,249,MG,1,817800,1,48848,3086399,29499,2085
2022,3,35069190,10,160,SC,1,927800,142356,142356,269353,51681,41
2022,9,42029200,11,160,ES,1,717600,45399,16539,143212,22215,312
2022,10,20054000,10,399,SP,1,817800,64,64,165,86,0
